resid,familysz,chb18,cha18,borvita,milo,zandu,dred,dblue,prtnex,holik,badya,complan
1,3,1,0,yes,yes,no,no,no,no,yes,no,no
2,6,0,2,no,no,yes,no,yes,no,no,yes,no
3,4,1,1,no,no,no,no,no,yes,yes,no,yes
4,4,0,2,yes,yes,no,no,no,no,yes,no,no
5,3,1,0,yes,yes,no,no,no,no,yes,no,yes
6,4,0,2,no,no,no,no,no,yes,yes,no,yes
7,8,0,3,no,no,yes,yes,yes,no,no,yes,no
8,6,0,1,no,no,yes,no,yes,no,no,yes,no
9,7,0,2,no,no,no,yes,yes,no,no,yes,no
10,4,2,0,yes,yes,no,no,no,no,yes,no,no
11,3,1,0,yes,yes,no,no,no,no,yes,no,no
12,4,2,0,yes,yes,no,no,no,yes,yes,no,yes
13,4,1,1,no,no,no,no,no,yes,yes,no,yes
14,4,0,2,no,no,no,no,no,yes,yes,no,yes
15,3,1,0,yes,yes,no,no,no,no,yes,no,no
16,4,1,1,no,no,no,no,no,yes,yes,no,yes
17,4,0,2,yes,yes,no,no,no,no,yes,no,no
18,8,0,3,no,no,yes,yes,yes,no,no,yes,no
19,3,1,0,yes,yes,no,no,no,no,yes,no,yes
20,4,2,0,yes,yes,no,no,no,no,yes,no,no
21,3,1,0,yes,yes,no,no,no,no,yes,no,no
22,4,2,0,yes,yes,no,no,no,yes,yes,no,yes
23,4,1,1,no,no,no,no,no,yes,yes,no,yes
24,4,0,2,no,no,no,no,no,yes,yes,no,yes
25,6,0,2,no,no,yes,no,yes,no,no,yes,no
26,8,0,3,no,no,yes,yes,yes,no,no,yes,no
27,6,0,1,no,no,yes,no,yes,no,no,yes,no
28,7,0,2,no,no,no,yes,yes,no,no,yes,no
29,3,1,0,yes,yes,no,no,no,no,yes,no,no
30,4,1,1,no,no,no,no,no,yes,yes,no,yes
31,4,0,2,yes,yes,no,no,no,no,yes,no,no
32,3,1,0,yes,yes,no,no,no,no,yes,no,yes
33,4,0,2,no,no,no,no,no,yes,yes,no,yes
34,4,2,0,yes,yes,no,no,no,no,yes,no,no
35,3,1,0,yes,yes,no,no,no,no,yes,no,no
36,4,2,0,yes,yes,no,no,no,yes,yes,no,yes
37,4,1,1,no,no,no,no,no,yes,yes,no,yes
38,4,0,2,no,no,no,no,no,yes,yes,no,yes
39,6,0,2,no,no,yes,no,yes,no,no,yes,no
40,8,0,3,no,no,yes,yes,yes,no,no,yes,no
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
